FA1,FA2,FB1,FB2,UA1,UA2,UB1,UB2
Emeralds,Spruces,Pines,Opals,Hickories,Topazes,Sycamores,Junipers
Diamonds,Oaks,Emeralds,Pines,Zircons,Cedars,Poplars,Quartzes
Boardshorts,Guns,Bananas,Sandals,Katanas,Plovers,Tangerines,Plimsoles
Magpies,Eagles,Flies,Pineapples,Coyotes,Raccoons,Cicadas,Weevils
Rabbits,Leggings,Flipflops,Trumpets,Starlings,Gaiters,Lutes,Sitars
Oaks,Pearls,Rubies,Sapphires,Garnets,Garnets,Amethysts,Poplars
Boardshorts,Guns,Bananas,Sandals,Katanas,Plovers,Tangerines,Plimsoles
Magpies,Eagles,Flies,Pineapples,Coyotes,Raccoons,Cicadas,Weevils
Rabbits,Leggings,Flipflops,Trumpets,Starlings,Gaiters,Lutes,Sitars
Swords,Cockatoos,Drums,Mosquitos,Dungarees,Molotovs,Cymbals,Moccasins
Seagulls,Daggers,Flutes,Joggers,Ospreys,Pantaloons,Galoshes,Quinces
Chinos,Whales,Grasshoppers,Grapes,Nunchucks,Cutlasses,Pomelos,Rambutans
Maples,Diamonds,Redwoods,Gums,Cedars,Larches,Citrines,Amethysts
Swords,Cockatoos,Drums,Mosquitos,Dungarees,Molotovs,Cymbals,Moccasins
Seagulls,Daggers,Flutes,Joggers,Ospreys,Pantaloons,Galoshes,Quinces
Chinos,Whales,Grasshoppers,Grapes,Nunchucks,Cutlasses,Pomelos,Rambutans
Boardshorts,Guns,Bananas,Sandals,Katanas,Plovers,Tangerines,Plimsoles
Magpies,Eagles,Flies,Pineapples,Coyotes,Raccoons,Cicadas,Weevils
Rabbits,Leggings,Flipflops,Trumpets,Starlings,Gaiters,Lutes,Sitars
Emeralds,Spruces,Pines,Opals,Hickories,Topazes,Sycamores,Junipers
Oaks,Pearls,Rubies,Sapphires,Garnets,Garnets,Amethysts,Poplars
Rifles,Trousers,Ants,Clarinets,Wrens,Tapirs,Locusts,Slaters
Overalls,Elephants,Pears,Gumboots,Lemmings,Jodhpurs,Guavas,Stilettos
Swords,Cockatoos,Drums,Mosquitos,Dungarees,Molotovs,Cymbals,Moccasins
Seagulls,Daggers,Flutes,Joggers,Ospreys,Pantaloons,Galoshes,Quinces
Chinos,Whales,Grasshoppers,Grapes,Nunchucks,Cutlasses,Pomelos,Rambutans
Rifles,Trousers,Ants,Clarinets,Wrens,Tapirs,Locusts,Slaters
Overalls,Elephants,Pears,Gumboots,Lemmings,Jodhpurs,Guavas,Stilettos
Pigeons,Bears,Volleys,Guitars,Khakis,Bilbies,Espadrilles,Timpanis
Horses,Missiles,Apples,Cockroaches,Dugongs,Scimitars,Aphids,Earwigs
Bombs,Jeans,Uggs,Oranges,Bazookas,Galahs,Mandolins,Bugles
Lions,Robins,Pianos,Beetles,Breeches,Kestrels,Loafers,Durians
Pigeons,Bears,Volleys,Guitars,Khakis,Bilbies,Espadrilles,Timpanis
Horses,Missiles,Apples,Cockroaches,Dugongs,Scimitars,Aphids,Earwigs
Bombs,Jeans,Uggs,Oranges,Bazookas,Galahs,Mandolins,Bugles
Lions,Robins,Pianos,Beetles,Breeches,Kestrels,Loafers,Durians
Rifles,Trousers,Ants,Clarinets,Wrens,Tapirs,Locusts,Slaters
Overalls,Elephants,Pears,Gumboots,Lemmings,Jodhpurs,Guavas,Stilettos
Emeralds,Spruces,Pines,Opals,Hickories,Topazes,Sycamores,Junipers
Maples,Diamonds,Redwoods,Gums,Cedars,Larches,Citrines,Amethysts
Oaks,Pearls,Rubies,Sapphires,Garnets,Garnets,Amethysts,Poplars
Diamonds,Oaks,Emeralds,Pines,Zircons,Cedars,Poplars,Quartzes
Pigeons,Bears,Volleys,Guitars,Khakis,Bilbies,Espadrilles,Timpanis
Horses,Missiles,Apples,Cockroaches,Dugongs,Scimitars,Aphids,Earwigs
Bombs,Jeans,Uggs,Oranges,Bazookas,Galahs,Mandolins,Bugles
Lions,Robins,Pianos,Beetles,Breeches,Kestrels,Loafers,Durians
Maples,Diamonds,Redwoods,Gums,Cedars,Larches,Citrines,Amethysts
Diamonds,Oaks,Emeralds,Pines,Zircons,Cedars,Poplars,Quartzes